Time,CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Heat Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Heat Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Cool Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Sens Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 1:Des Tot Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Heat Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Heat Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Cool Mass Flow [kg/s],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Sens Cool Cap [W],CORE_ZN ZN PSZ-AC-1:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_1 ZN PSZ-AC-2:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_2 ZN PSZ-AC-3:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_3 ZN PSZ-AC-4:DesPer 2:Des Tot Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Heat Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Sens Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 1:Des Tot Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Heat Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Sens Cool Cap [W],PERIMETER_ZN_4 ZN PSZ-AC-5:DesPer 2:Des Tot Cool Cap [W]
00:10:00,8.714148E-02,1.082389E+03,1.901337E-01,2.737896E+03,4.726841E+03,8.714148E-02,2.740780E+03,8.714148E-02,0.000000E+00,0.000000E+00,6.605888E-02,8.205212E+02,1.648184E-01,2.363736E+03,4.772114E+03,1.693810E-01,4.050454E+03,6.605888E-02,0.000000E+00,0.000000E+00,3.918698E-02,4.867437E+02,1.057583E-01,1.513637E+03,3.033413E+03,1.075798E-01,2.538365E+03,3.918698E-02,0.000000E+00,0.000000E+00,6.605888E-02,8.205212E+02,1.664393E-01,2.386363E+03,4.805189E+03,1.621757E-01,3.912880E+03,6.605888E-02,0.000000E+00,0.000000E+00,3.918698E-02,4.867437E+02,1.110488E-01,1.587461E+03,3.140041E+03,1.075456E-01,2.537712E+03,3.918698E-02,0.000000E+00,0.000000E+00
00:20:00,8.714148E-02,1.088256E+03,1.909878E-01,2.743962E+03,4.729912E+03,8.714148E-02,2.740780E+03,8.714148E-02,0.000000E+00,0.000000E+00,6.605888E-02,8.249686E+02,1.646316E-01,2.356666E+03,4.765929E+03,1.693770E-01,4.050377E+03,6.605888E-02,0.000000E+00,0.000000E+00,3.918698E-02,4.893820E+02,1.055935E-01,1.508689E+03,3.028271E+03,1.075774E-01,2.538319E+03,3.918698E-02,0.000000E+00,0.000000E+00,6.605888E-02,8.249686E+02,1.662846E-01,2.379741E+03,4.799623E+03,1.621716E-01,3.912801E+03,6.605888E-02,0.000000E+00,0.000000E+00,3.918698E-02,4.893820E+02,1.107865E-01,1.581148E+03,3.132879E+03,1.075431E-01,2.537665E+03,3.918698E-02,0.000000E+00,0.000000E+00
00:30:00,8.714148E-02,1.094123E+03,1.916712E-01,2.747643E+03,4.730270E+03,8.714148E-02,2.740780E+03,8.714148E-02,0.000000E+00,0.000000E+00,6.605888E-02,8.294161E+02,1.643251E-01,2.347931E+03,4.755970E+03,1.693730E-01,4.050302E+03,6.605888E-02,0.000000E+00,0.000000E+00,3.918698E-02,4.920203E+02,1.053457E-01,1.502585E+03,3.020700E+03,1.075750E-01,2.538273E+03,3.918698E-02,0.000000E+00,0.000000E+00,6.605888E-02,8.294161E+02,1.660063E-01,2.371399E+03,4.790213E+03,1.621675E-01,3.912723E+03,6.605888E-02,0.000000E+00,0.000000E+00,3.918698E-02,4.920203E+02,1.104438E-01,1.573718E+03,3.123380E+03,1.075407E-01,2.537619E+03,3.918698E-02,0.000000E+00,0.000000E+00
00:40:00,8.714148E-02,1.099990E+03,1.922173E-01,2.749406E+03,4.728959E+03,8.714148E-02,2.740780E+03,8.714148E-02,0.000000E+00,0.000000E+00,6.605888E-02,8.338635E+02,1.639279E-01,2.337933E+03,4.743552E+03,1.693691E-01,4.050226E+03,6.605888E-02,0.000000E+00,0.000000E+00,3.918698E-02,4.946586E+02,1.050360E-01,1.495620E+03,3.011582E+03,1.075726E-01,2.538228E+03,3.918698E-02,0.000000E+00,0.000000E+00,6.605888E-02,8.338635E+02,1.656344E-01,2.361755E+03,4.778300E+03,1.621634E-01,3.912645E+03,6.605888E-02,0.000000E+00,0.000000E+00,3.918698E-02,4.946586E+02,1.100423E-01,1.565469E+03,3.112441E+03,1.075383E-01,2.537573E+03,3.918698E-02,0.000000E+00,0.000000E+00
00:50:00,8.714148E-02,1.105857E+03,1.926523E-01,2.749617E+03,4.726565E+03,8.714148E-02,2.740780E+03,8.714148E-02,0.000000E+00,0.000000E+00,6.605888E-02,8.383110E+02,1.634621E-01,2.326980E+03,4.729491E+03,1.693652E-01,4.050152E+03,6.605888E-02,0.000000E+00,0.000000E+00,3.918698E-02,4.972969E+02,1.046804E-01,1.488016E+03,3.001451E+03,1.075703E-01,2.538183E+03,3.918698E-02,0.000000E+00,0.000000E+00,6.605888E-02,8.383110E+02,1.651918E-01,2.351125E+03,4.764713E+03,1.621594E-01,3.912568E+03,6.605888E-02,0.000000E+00,0.000000E+00,3.918698E-02,4.972969E+02,1.095979E-01,1.556620E+03,3.100592E+03,1.075359E-01,2.537527E+03,3.918698E-02,0.000000E+00,0.000000E+00
01:00:00,8.714148E-02,1.111724E+03,1.929966E-01,2.748562E+03,4.723365E+03,8.714148E-02,2.740780E+03,8.714148E-02,0.000000E+00,0.000000E+00,6.605888E-02,8.427584E+02,1.629448E-01,2.315309E+03,4.714278E+03,1.693613E-01,4.050078E+03,6.605888E-02,0.000000E+00,0.000000E+00,3.918698E-02,4.999351E+02,1.042908E-01,1.479938E+03,2.990620E+03,1.075679E-01,2.538139E+03,3.918698E-02,0.000000E+00,0.000000E+00,6.605888E-02,8.427584E+02,1.646959E-01,2.339752E+03,4.749950E+03,1.621554E-01,3.912492E+03,6.605888E-02,0.000000E+00,0.000000E+00,3.918698E-02,4.999351E+02,1.091217E-01,1.547330E+03,3.088118E+03,1.075335E-01,2.537482E+03,3.918698E-02,0.000000E+00,0.000000E+00
01:10:00,8.714148E-02,1.115635E+03,1.934411E-01,2.750861E+03,4.723993E+03,8.714148E-02,2.740780E+03,8.714148E-02,0.000000E+00,0.000000E+00,6.605888E-02,8.457234E+02,1.625397E-01,2.306688E+03,4.703297E+03,1.693617E-01,4.050086E+03,6.605888E-02,0.000000E+00,0.000000E+00,3.918698E-02,5.016940E+02,1.039665E-01,1.473651E+03,2.982334E+03,1.075682E-01,2.538144E+03,3.918698E-02,0.000000E+00,0.000000E+00,6.605888E-02,8.457234E+02,1.643103E-01,2.331403E+03,4.739381E+03,1.621558E-01,3.912500E+03,6.605888E-02,0.000000E+00,0.000000E+00,3.918698E-02,5.016940E+02,1.087140E-01,1.539876E+03,3.078252E+03,1.075338E-01,2.537487E+03,3.918698E-02,0.000000E+00,0.000000E+00
01:20:00,8.714148E-02,1.119546E+03,1.938272E-01,2.752345E+03,4.724097E+03,8.714148E-02,2.740780E+03,8.714148E-02,0.000000E+00,0.000000E+00,6.605888E-02,8.486884E+02,1.621271E-01,2.297962E+03,4.692078E+03,1.693621E-01,4.050094E+03,6.605888E-02,0.000000E+00,0.000000E+00,3.918698E-02,5.034529E+02,1.036374E-01,1.467298E+03,2.973912E+03,1.075685E-01,2.538149E+03,3.918698E-02,0.000000E+00,0.000000E+00,6.605888E-02,8.486884E+02,1.639152E-01,2.322922E+03,4.728538E+03,1.621562E-01,3.912508E+03,6.605888E-02,0.000000E+00,0.000000E+00,3.918698E-02,5.034529E+02,1.083063E-01,1.532422E+03,3.068354E+03,1.075341E-01,2.537492E+03,3.918698E-02,0.000000E+00,0.000000E+00
01:30:00,8.714148E-02,1.123457E+03,1.941634E-01,2.753131E+03,4.723736E+03,8.714148E-02,2.740780E+03,8.714148E-02,0.000000E+00,0.000000E+00,6.605888E-02,8.516533E+02,1.617150E-01,2.289244E+03,4.680765E+03,1.693625E-01,4.050102E+03,6.605888E-02,0.000000E+00,0.000000E+00,3.918698E-02,5.052117E+02,1.033090E-01,1.460954E+03,2.965440E+03,1.075687E-01,2.538153E+03,3.918698E-02,0.000000E+00,0.000000E+00,6.605888E-02,8.516533E+02,1.635188E-01,2.314422E+03,4.717566E+03,1.621566E-01,3.912516E+03,6.605888E-02,0.000000E+00,0.000000E+00,3.918698E-02,5.052117E+02,1.079035E-01,1.525039E+03,3.058490E+03,1.075343E-01,2.537497E+03,3.918698E-02,0.000000E+00,0.000000E+00
01:40:00,8.714148E-02,1.127368E+03,1.944576E-01,2.753331E+03,4.722976E+03,8.714148E-02,2.740780E+03,8.714148E-02,0.000000E+00,0.000000E+00,6.605888E-02,8.546183E+02,1.613095E-01,2.280617E+03,4.669521E+03,1.693629E-01,4.050109E+03,6.605888E-02,0.000000E+00,0.000000E+00,3.918698E-02,5.069706E+02,1.029852E-01,1.454674E+03,2.957027E+03,1.075690E-01,2.538158E+03,3.918698E-02,0.000000E+00,0.000000E+00,6.605888E-02,8.546183E+02,1.631271E-01,2.305989E+03,4.706627E+03,1.621571E-01,3.912524E+03,6.605888E-02,0.000000E+00,0.000000E+00,3.918698E-02,5.069706E+02,1.075102E-01,1.517790E+03,3.048778E+03,1.075346E-01,2.537501E+03,3.918698E-02,0.000000E+00,0.000000E+00
