Time,CORE_ZN ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1 ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1 ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1 ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1 ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2 ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2 ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2 ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2 ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3 ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3 ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3 ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3 ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4 ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4 ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4 ZN:MIAMI INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4 ZN:MIAMI INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,5.703530E+02,2.452146E+03,2.943830E-02,1.728488E-01,2.734878E+03,2.124613E+03,1.411508E-01,1.498349E-01,1.737024E+03,1.363221E+03,8.964983E-02,9.614393E-02,2.618537E+03,2.145505E+03,1.351464E-01,1.513084E-01,1.736471E+03,1.431373E+03,8.962131E-02,1.009535E-01
00:20:00,5.702726E+02,2.463167E+03,2.943415E-02,1.736253E-01,2.734813E+03,2.122183E+03,1.411475E-01,1.496651E-01,1.736985E+03,1.361083E+03,8.964782E-02,9.599409E-02,2.618471E+03,2.143489E+03,1.351430E-01,1.511678E-01,1.736432E+03,1.427974E+03,8.961927E-02,1.007150E-01
00:30:00,5.701929E+02,2.471984E+03,2.943004E-02,1.742465E-01,2.734749E+03,2.118218E+03,1.411442E-01,1.493864E-01,1.736946E+03,1.357879E+03,8.964583E-02,9.576877E-02,2.618405E+03,2.139888E+03,1.351396E-01,1.509148E-01,1.736392E+03,1.423544E+03,8.961725E-02,1.004035E-01
00:40:00,5.701137E+02,2.479031E+03,2.942595E-02,1.747430E-01,2.734685E+03,2.113090E+03,1.411409E-01,1.490253E-01,1.736908E+03,1.353883E+03,8.964386E-02,9.548729E-02,2.618339E+03,2.135086E+03,1.351362E-01,1.505768E-01,1.736354E+03,1.418359E+03,8.961524E-02,1.000385E-01
00:50:00,5.700352E+02,2.484645E+03,2.942190E-02,1.751384E-01,2.734622E+03,2.107081E+03,1.411376E-01,1.486019E-01,1.736870E+03,1.349296E+03,8.964189E-02,9.516401E-02,2.618274E+03,2.129375E+03,1.351328E-01,1.501744E-01,1.736315E+03,1.412622E+03,8.961325E-02,9.963443E-02
01:00:00,5.699573E+02,2.489090E+03,2.941788E-02,1.754515E-01,2.734560E+03,2.100410E+03,1.411344E-01,1.481317E-01,1.736832E+03,1.344272E+03,8.963995E-02,9.480984E-02,2.618210E+03,2.122979E+03,1.351295E-01,1.497235E-01,1.736277E+03,1.406478E+03,8.961127E-02,9.920159E-02
01:10:00,5.699635E+02,2.494826E+03,2.941820E-02,1.758555E-01,2.734567E+03,2.095186E+03,1.411347E-01,1.477634E-01,1.736836E+03,1.340091E+03,8.964017E-02,9.451504E-02,2.618216E+03,2.118006E+03,1.351298E-01,1.493730E-01,1.736281E+03,1.401216E+03,8.961149E-02,9.883095E-02
01:20:00,5.699697E+02,2.499810E+03,2.941852E-02,1.762066E-01,2.734573E+03,2.089866E+03,1.411351E-01,1.473882E-01,1.736841E+03,1.335848E+03,8.964038E-02,9.421586E-02,2.618223E+03,2.112912E+03,1.351302E-01,1.490138E-01,1.736285E+03,1.395956E+03,8.961171E-02,9.846024E-02
01:30:00,5.699758E+02,2.504148E+03,2.941883E-02,1.765122E-01,2.734580E+03,2.084554E+03,1.411354E-01,1.470136E-01,1.736845E+03,1.331614E+03,8.964060E-02,9.391727E-02,2.618230E+03,2.107802E+03,1.351305E-01,1.486534E-01,1.736289E+03,1.390762E+03,8.961193E-02,9.809409E-02
01:40:00,5.699818E+02,2.507946E+03,2.941914E-02,1.767797E-01,2.734587E+03,2.079326E+03,1.411358E-01,1.466450E-01,1.736849E+03,1.327440E+03,8.964081E-02,9.362288E-02,2.618237E+03,2.102752E+03,1.351309E-01,1.482973E-01,1.736293E+03,1.385692E+03,8.961214E-02,9.773654E-02
01:50:00,5.699878E+02,2.511285E+03,2.941945E-02,1.770149E-01,2.734593E+03,2.074250E+03,1.411361E-01,1.462870E-01,1.736853E+03,1.323369E+03,8.964102E-02,9.333578E-02,2.618243E+03,2.097829E+03,1.351312E-01,1.479502E-01,1.736298E+03,1.380790E+03,8.961235E-02,9.739068E-02
02:00:00,5.699938E+02,2.514236E+03,2.941976E-02,1.772228E-01,2.734600E+03,2.069377E+03,1.411364E-01,1.459434E-01,1.736857E+03,1.319436E+03,8.964123E-02,9.305843E-02,2.618250E+03,2.093088E+03,1.351316E-01,1.476159E-01,1.736302E+03,1.376098E+03,8.961256E-02,9.705946E-02
02:10:00,5.699997E+02,2.516852E+03,2.942007E-02,1.774071E-01,2.734606E+03,2.064518E+03,1.411368E-01,1.456007E-01,1.736861E+03,1.315517E+03,8.964143E-02,9.278203E-02,2.618256E+03,2.088343E+03,1.351319E-01,1.472813E-01,1.736306E+03,1.371469E+03,8.961277E-02,9.673271E-02
02:20:00,5.700056E+02,2.519178E+03,2.942037E-02,1.775710E-01,2.734612E+03,2.059700E+03,1.411371E-01,1.452610E-01,1.736865E+03,1.311631E+03,8.964163E-02,9.250800E-02,2.618263E+03,2.083624E+03,1.351322E-01,1.469485E-01,1.736310E+03,1.366901E+03,8.961297E-02,9.641033E-02
02:30:00,5.700114E+02,2.521253E+03,2.942067E-02,1.777171E-01,2.734618E+03,2.054954E+03,1.411374E-01,1.449262E-01,1.736869E+03,1.307798E+03,8.964183E-02,9.223766E-02,2.618269E+03,2.078961E+03,1.351325E-01,1.466196E-01,1.736314E+03,1.362415E+03,8.961318E-02,9.609378E-02
02:40:00,5.700172E+02,2.523107E+03,2.942097E-02,1.778477E-01,2.734625E+03,2.050301E+03,1.411377E-01,1.445981E-01,1.736873E+03,1.304032E+03,8.964203E-02,9.197203E-02,2.618275E+03,2.074377E+03,1.351329E-01,1.462964E-01,1.736317E+03,1.358017E+03,8.961338E-02,9.578346E-02
02:50:00,5.700230E+02,2.524765E+03,2.942127E-02,1.779646E-01,2.734631E+03,2.045763E+03,1.411381E-01,1.442781E-01,1.736876E+03,1.300345E+03,8.964223E-02,9.171196E-02,2.618281E+03,2.069892E+03,1.351332E-01,1.459801E-01,1.736321E+03,1.353718E+03,8.961357E-02,9.548012E-02
03:00:00,5.700287E+02,2.526251E+03,2.942156E-02,1.780693E-01,2.734637E+03,2.041355E+03,1.411384E-01,1.439672E-01,1.736880E+03,1.296747E+03,8.964242E-02,9.145819E-02,2.618287E+03,2.065523E+03,1.351335E-01,1.456720E-01,1.736325E+03,1.349525E+03,8.961377E-02,9.518435E-02
03:10:00,5.700343E+02,2.527580E+03,2.942185E-02,1.781630E-01,2.734643E+03,2.036851E+03,1.411387E-01,1.436496E-01,1.736884E+03,1.293090E+03,8.964261E-02,9.120022E-02,2.618294E+03,2.061046E+03,1.351338E-01,1.453563E-01,1.736329E+03,1.345290E+03,8.961396E-02,9.488564E-02
03:20:00,5.700399E+02,2.528771E+03,2.942214E-02,1.782469E-01,2.734649E+03,2.032266E+03,1.411390E-01,1.433263E-01,1.736888E+03,1.289384E+03,8.964280E-02,9.093881E-02,2.618300E+03,2.056480E+03,1.351341E-01,1.450343E-01,1.736332E+03,1.341026E+03,8.961416E-02,9.458484E-02
03:30:00,5.700455E+02,2.529833E+03,2.942243E-02,1.783217E-01,2.734655E+03,2.027609E+03,1.411393E-01,1.429979E-01,1.736891E+03,1.285632E+03,8.964299E-02,9.067421E-02,2.618305E+03,2.051832E+03,1.351344E-01,1.447064E-01,1.736336E+03,1.336729E+03,8.961435E-02,9.428180E-02
03:40:00,5.700511E+02,2.530777E+03,2.942272E-02,1.783882E-01,2.734660E+03,2.022891E+03,1.411396E-01,1.426651E-01,1.736895E+03,1.281841E+03,8.964318E-02,9.040674E-02,2.618311E+03,2.047108E+03,1.351347E-01,1.443733E-01,1.736340E+03,1.332410E+03,8.961453E-02,9.397717E-02
03:50:00,5.700566E+02,2.531611E+03,2.942300E-02,1.784470E-01,2.734666E+03,2.018124E+03,1.411399E-01,1.423290E-01,1.736898E+03,1.278012E+03,8.964336E-02,9.013664E-02,2.618317E+03,2.042316E+03,1.351350E-01,1.440353E-01,1.736343E+03,1.328070E+03,8.961472E-02,9.367107E-02
04:00:00,5.700620E+02,2.532343E+03,2.942328E-02,1.784986E-01,2.734672E+03,2.013251E+03,1.411402E-01,1.419854E-01,1.736902E+03,1.274149E+03,8.964354E-02,8.986416E-02,2.618323E+03,2.037462E+03,1.351353E-01,1.436929E-01,1.736347E+03,1.323713E+03,8.961490E-02,9.336381E-02
04:10:00,5.700674E+02,2.532980E+03,2.942356E-02,1.785435E-01,2.734677E+03,2.008539E+03,1.411405E-01,1.416530E-01,1.736905E+03,1.270410E+03,8.964372E-02,8.960039E-02,2.618329E+03,2.032783E+03,1.351356E-01,1.433630E-01,1.736350E+03,1.319497E+03,8.961508E-02,9.306650E-02
04:20:00,5.700728E+02,2.533527E+03,2.942384E-02,1.785821E-01,2.734683E+03,2.003966E+03,1.411408E-01,1.413304E-01,1.736909E+03,1.266799E+03,8.964390E-02,8.934566E-02,2.618334E+03,2.028289E+03,1.351359E-01,1.430460E-01,1.736354E+03,1.315429E+03,8.961526E-02,9.277957E-02
04:30:00,5.700781E+02,2.533991E+03,2.942412E-02,1.786147E-01,2.734688E+03,1.999535E+03,1.411410E-01,1.410176E-01,1.736912E+03,1.263318E+03,8.964407E-02,8.910014E-02,2.618340E+03,2.023984E+03,1.351362E-01,1.427424E-01,1.736357E+03,1.311523E+03,8.961544E-02,9.250415E-02
04:40:00,5.700834E+02,2.534375E+03,2.942439E-02,1.786418E-01,2.734694E+03,1.995237E+03,1.411413E-01,1.407143E-01,1.736916E+03,1.259971E+03,8.964425E-02,8.886401E-02,2.618345E+03,2.019875E+03,1.351365E-01,1.424527E-01,1.736361E+03,1.307753E+03,8.961562E-02,9.223843E-02
04:50:00,5.700887E+02,2.534685E+03,2.942466E-02,1.786637E-01,2.734699E+03,1.991063E+03,1.411416E-01,1.404196E-01,1.736919E+03,1.256759E+03,8.964442E-02,8.863742E-02,2.618351E+03,2.015970E+03,1.351368E-01,1.421773E-01,1.736364E+03,1.304125E+03,8.961579E-02,9.198269E-02
05:00:00,5.700939E+02,2.534925E+03,2.942493E-02,1.786806E-01,2.734705E+03,1.987074E+03,1.411419E-01,1.401379E-01,1.736922E+03,1.253684E+03,8.964459E-02,8.842053E-02,2.618356E+03,2.012280E+03,1.351371E-01,1.419171E-01,1.736368E+03,1.300644E+03,8.961596E-02,9.173717E-02
05:10:00,5.700991E+02,2.535098E+03,2.942520E-02,1.786928E-01,2.734710E+03,1.983961E+03,1.411421E-01,1.399182E-01,1.736925E+03,1.251213E+03,8.964476E-02,8.824626E-02,2.618362E+03,2.009449E+03,1.351373E-01,1.417175E-01,1.736371E+03,1.297761E+03,8.961613E-02,9.153382E-02
05:20:00,5.701042E+02,2.535209E+03,2.942546E-02,1.787005E-01,2.734715E+03,1.981765E+03,1.411424E-01,1.397631E-01,1.736929E+03,1.249354E+03,8.964493E-02,8.811511E-02,2.618367E+03,2.007509E+03,1.351376E-01,1.415807E-01,1.736374E+03,1.295481E+03,8.961630E-02,9.137288E-02
